"","hgnc_symbol","entrezgene","ensembl_gene_id","chromosome_name","start_position","end_position","band"
"6342","ATF6B",1388,"ENSG00000168468","CHR_HSCHR6_MHC_DBB_CTG1",32091037,32104024,""
"6343","ATF6B",1388,"ENSG00000228628","CHR_HSCHR6_MHC_MCF_CTG1",32191691,32204680,""
"6344","ATF6B",1388,"ENSG00000213676","6",32098176,32128253,"p21.32"
"6345","ATF6B",1388,"ENSG00000234539","CHR_HSCHR6_MHC_COX_CTG1",32063716,32076703,""
"6346","ATP6V1G2",534,"ENSG00000227587","CHR_HSCHR6_MHC_COX_CTG1",31531911,31534293,""
"6347","ATP6V1G2",534,"ENSG00000206445","CHR_HSCHR6_MHC_QBL_CTG1",31534725,31537107,""
"6348","ATP6V1G2",534,"ENSG00000213760","6",31544462,31548427,"p21.33"
"6349","ATP6V1G2",534,"ENSG00000226850","CHR_HSCHR6_MHC_MANN_CTG1",31583922,31586304,""
"6350","ATP6V1G2",534,"ENSG00000234920","CHR_HSCHR6_MHC_SSTO_CTG1",31535211,31537597,""
"6351","ATP6V1G2",534,"ENSG00000234668","CHR_HSCHR6_MHC_DBB_CTG1",31526639,31529021,""
"6352","ATP6V1G2",534,"ENSG00000230900","CHR_HSCHR6_MHC_MCF_CTG1",31620808,31623190,""
"6353","ATP6V1G2-DDX39B",NA,"ENSG00000254870","6",31530219,31546608,"p21.33"
"6354","ATXN1",6310,"ENSG00000124788","6",16299112,16761491,"p22.3"
"6355","B3GALT4",8705,"ENSG00000235863","6",33277132,33284832,"p21.32"
"6356","B3GALT4",8705,"ENSG00000226936","CHR_HSCHR6_MHC_COX_CTG1",33198732,33200425,""
"6357","B3GALT4",8705,"ENSG00000235155","CHR_HSCHR6_MHC_DBB_CTG1",33255053,33256746,""
"6358","B3GALT4",8705,"ENSG00000236802","CHR_HSCHR6_MHC_MCF_CTG1",33447505,33449198,""
"6359","B3GALT4",8705,"ENSG00000206285","CHR_HSCHR6_MHC_QBL_CTG1",33205959,33207652,""
"6360","BAG6",7917,"ENSG00000234651","CHR_HSCHR6_MHC_MCF_CTG1",31715314,31728984,""
"6361","BAG6",7917,"ENSG00000096155","CHR_HSCHR6_MHC_QBL_CTG1",31629248,31642931,""
"6362","BAG6",7917,"ENSG00000228760","CHR_HSCHR6_MHC_MANN_CTG1",31678475,31692158,""
"6363","BAG6",7917,"ENSG00000227761","CHR_HSCHR6_MHC_DBB_CTG1",31621198,31634883,""
"6364","BAG6",7917,"ENSG00000229524","CHR_HSCHR6_MHC_COX_CTG1",31626429,31640114,""
"6365","BAG6",7917,"ENSG00000204463","6",31639028,31652705,"p21.33"
"6366","BAG6",7917,"ENSG00000233348","CHR_HSCHR6_MHC_SSTO_CTG1",31629769,31643448,""
"6367","BAK1",578,"ENSG00000030110","6",33572547,33580293,"p21.31"
"6368","BMP6",654,"ENSG00000153162","6",7726797,7881422,"p24.3"
"6369","BPHL",670,"ENSG00000137274","6",3118374,3153578,"p25.2"
"6370","BRD2",6046,"ENSG00000234507","CHR_HSCHR6_MHC_COX_CTG1",32890988,32903839,""
"6371","BRD2",6046,"ENSG00000204256","6",32968660,32981505,"p21.32"
"6372","BRD2",6046,"ENSG00000235307","CHR_HSCHR6_MHC_SSTO_CTG1",33059372,33122227,""
"6373","BRD2",6046,"ENSG00000230678","CHR_HSCHR6_MHC_DBB_CTG1",32955787,32959446,""
"6374","BRD2",6046,"ENSG00000234704","CHR_HSCHR6_MHC_MANN_CTG1",33122451,33135290,""
"6375","BRD2",6046,"ENSG00000236227","CHR_HSCHR6_MHC_MCF_CTG1",33002124,33012662,""
"6376","BRD2",6046,"ENSG00000215077","CHR_HSCHR6_MHC_QBL_CTG1",32897392,32910230,""
"6377","BTN1A1",696,"ENSG00000124557","6",26501221,26510422,"p22.2"
"6378","BTN2A1",11120,"ENSG00000112763","6",26457904,26476621,"p22.2"
"6379","BTN2A2",10385,"ENSG00000124508","6",26383096,26394874,"p22.2"
"6380","BTN2A3P",54718,"ENSG00000124549","6",26421391,26432383,"p22.2"
"6381","BTN3A1",11119,"ENSG00000026950","6",26402237,26415216,"p22.2"
"6382","BTN3A2",11118,"ENSG00000186470","6",26365159,26378320,"p22.2"
"6383","BTN3A3",10384,"ENSG00000111801","6",26440472,26453415,"p22.2"
"6384","BTNL2",56244,"ENSG00000229741","CHR_HSCHR6_MHC_DBB_CTG1",32369461,32382615,""
"6385","BTNL2",56244,"ENSG00000224242","CHR_HSCHR6_MHC_SSTO_CTG1",32401346,32414522,""
"6386","BTNL2",56244,"ENSG00000224770","CHR_HSCHR6_MHC_COX_CTG1",32342174,32355327,""
"6387","BTNL2",56244,"ENSG00000225412","CHR_HSCHR6_MHC_MANN_CTG1",32433363,32446554,""
"6388","BTNL2",56244,"ENSG00000225845","CHR_HSCHR6_MHC_MCF_CTG1",32470120,32483292,""
"6389","BTNL2",56244,"ENSG00000229597","CHR_HSCHR6_MHC_QBL_CTG1",32351409,32364583,""
"6390","BTNL2",56244,"ENSG00000226127","CHR_HSCHR6_MHC_APD_CTG1",32460601,32473766,""
"6391","BTNL2",56244,"ENSG00000204290","6",32393963,32407128,"p21.32"
"6392","BTNL2",56244,"ENSG00000275798","CHR_HSCHR6_8_CTG1",32402558,32414973,""
"6393","BTNL9",153579,"ENSG00000165810","5",181040225,181061523,"q35.3"
"6394","C2",717,"ENSG00000235017","CHR_HSCHR6_MHC_COX_CTG1",31885329,31933220,""
"6395","C2",717,"ENSG00000204364","CHR_HSCHR6_MHC_MANN_CTG1",31959563,31985058,""
"6396","C2",717,"ENSG00000206372","CHR_HSCHR6_MHC_QBL_CTG1",31888164,31936056,""
"6397","C2",717,"ENSG00000226560","CHR_HSCHR6_MHC_MCF_CTG1",31974264,32022117,""
"6398","C2",717,"ENSG00000235696","CHR_HSCHR6_MHC_SSTO_CTG1",31912644,31938328,""
"6399","C2",717,"ENSG00000166278","6",31897785,31945672,"p21.33"
"6400","C2",717,"ENSG00000231543","CHR_HSCHR6_MHC_DBB_CTG1",31879966,31927861,""
"6401","C4A",720,"ENSG00000227746","CHR_HSCHR6_MHC_MCF_CTG1",32091205,32111862,""
"6402","C4A",110384692,"ENSG00000227746","CHR_HSCHR6_MHC_MCF_CTG1",32091205,32111862,""
"6403","C4A",720,"ENSG00000206340","CHR_HSCHR6_MHC_QBL_CTG1",31972402,31993060,""
"6404","C4A",110384692,"ENSG00000206340","CHR_HSCHR6_MHC_QBL_CTG1",31972402,31993060,""
"6405","C4A",720,"ENSG00000244731","6",31982024,32002681,"p21.33"
"6406","C4A",110384692,"ENSG00000244731","6",31982024,32002681,"p21.33"
"6407","C4A",720,"ENSG00000244207","CHR_HSCHR6_MHC_DBB_CTG1",31964204,31984862,""
"6408","C4A",110384692,"ENSG00000244207","CHR_HSCHR6_MHC_DBB_CTG1",31964204,31984862,""
"6409","C4B",721,"ENSG00000236625","CHR_HSCHR6_MHC_DBB_CTG1",31996944,32011233,""
"6410","C4B",721,"ENSG00000224639","CHR_HSCHR6_MHC_MCF_CTG1",32058468,32058494,""
"6411","C4B",721,"ENSG00000228267","CHR_HSCHR6_MHC_COX_CTG1",31969570,31983859,""
"6412","C4B",721,"ENSG00000228454","CHR_HSCHR6_MHC_SSTO_CTG1",32007416,32028073,""
"6413","C4B",721,"ENSG00000224389","6",32014762,32035418,"p21.33"
"6414","C6orf10",10665,"ENSG00000226892","CHR_HSCHR6_MHC_DBB_CTG1",32268544,32347428,""
"6415","C6orf10",10665,"ENSG00000232106","CHR_HSCHR6_MHC_SSTO_CTG1",32300437,32379326,""
"6416","C6orf10",10665,"ENSG00000234280","CHR_HSCHR6_MHC_COX_CTG1",32241266,32320157,""
"6417","C6orf10",10665,"ENSG00000237881","CHR_HSCHR6_MHC_MCF_CTG1",32392894,32448091,""
"6418","C6orf10",10665,"ENSG00000206310","CHR_HSCHR6_MHC_QBL_CTG1",32250505,32329363,""
"6419","C6orf10",10665,"ENSG00000236672","CHR_HSCHR6_MHC_APD_CTG1",32383385,32438560,""
"6420","C6orf10",10665,"ENSG00000206245","CHR_HSCHR6_MHC_MANN_CTG1",32332098,32411315,""
"6421","C6orf10",10665,"ENSG00000204296","6",32288526,32371912,"p21.32"
"6422","C6orf106",64771,"ENSG00000196821","6",34587288,34696859,"p21.31"
"6423","C6orf136",221545,"ENSG00000204564","6",30647039,30653210,"p21.33"
"6424","C6orf136",221545,"ENSG00000237100","CHR_HSCHR6_MHC_SSTO_CTG1",30639263,30645325,""
"6425","C6orf136",221545,"ENSG00000224120","CHR_HSCHR6_MHC_MCF_CTG1",30725496,30731566,""
"6426","C6orf136",221545,"ENSG00000237012","CHR_HSCHR6_MHC_DBB_CTG1",30637275,30643339,""
"6427","C6orf136",221545,"ENSG00000233641","CHR_HSCHR6_MHC_COX_CTG1",30636880,30642942,""
"6428","C6orf136",221545,"ENSG00000206487","CHR_HSCHR6_MHC_QBL_CTG1",30636534,30642598,""
"6429","C6orf136",221545,"ENSG00000233164","CHR_HSCHR6_MHC_MANN_CTG1",30691675,30697740,""
"6430","C6orf15",29113,"ENSG00000224105","CHR_HSCHR6_MHC_MCF_CTG1",31189747,31191083,""
"6431","C6orf15",29113,"ENSG00000231624","CHR_HSCHR6_MHC_MANN_CTG1",31156133,31157469,""
"6432","C6orf15",29113,"ENSG00000206461","CHR_HSCHR6_MHC_QBL_CTG1",31103629,31104965,""
"6433","C6orf15",29113,"ENSG00000204542","6",31111223,31112559,"p21.33"
"6434","C6orf15",29113,"ENSG00000229432","CHR_HSCHR6_MHC_COX_CTG1",31103717,31105053,""
"6435","C6orf15",29113,"ENSG00000225543","CHR_HSCHR6_MHC_DBB_CTG1",31104994,31106330,""
"6436","C6orf201",404220,"ENSG00000185689","6",4079209,4130951,"p25.2"
"6437","C6orf47",57827,"ENSG00000235360","CHR_HSCHR6_MHC_COX_CTG1",31645706,31648178,""
"6438","C6orf47",57827,"ENSG00000226103","CHR_HSCHR6_MHC_SSTO_CTG1",31649040,31651514,""
"6439","C6orf47",57827,"ENSG00000226531","CHR_HSCHR6_MHC_MCF_CTG1",31734577,31737051,""
"6440","C6orf47",57827,"ENSG00000203623","CHR_HSCHR6_MHC_QBL_CTG1",31648523,31650997,""
"6441","C6orf47",57827,"ENSG00000228435","CHR_HSCHR6_MHC_DBB_CTG1",31640476,31642950,""
"6442","C6orf47",57827,"ENSG00000228177","CHR_HSCHR6_MHC_MANN_CTG1",31697751,31700226,""
"6443","C6orf47",57827,"ENSG00000204439","6",31658298,31660772,"p21.33"
"6444","C6orf48",50854,"ENSG00000226710","CHR_HSCHR6_MHC_COX_CTG1",31821974,31827129,""
"6445","C6orf48",50854,"ENSG00000206380","CHR_HSCHR6_MHC_QBL_CTG1",31824855,31830009,""
"6446","C6orf48",50854,"ENSG00000234728","CHR_HSCHR6_MHC_APD_CTG1",31901630,31906788,""
"6447","C6orf48",50854,"ENSG00000204387","6",31834608,31839766,"p21.33"
"6448","C6orf48",50854,"ENSG00000229300","CHR_HSCHR6_MHC_DBB_CTG1",31816794,31821951,""
"6449","C6orf52",347744,"ENSG00000137434","6",10671418,10694797,"p24.2"
"6450","C6orf62",81688,"ENSG00000112308","6",24704861,24720836,"p22.3"
"6451","CAGE1",285782,"ENSG00000164304","6",7326656,7389743,"p24.3"
"6452","CAP2",10486,"ENSG00000112186","6",17393216,17557792,"p22.3"
"6453","CCHCR1",54535,"ENSG00000224180","CHR_HSCHR6_MHC_MCF_CTG1",31220974,31236769,""
"6454","CCHCR1",54535,"ENSG00000206457","CHR_HSCHR6_MHC_QBL_CTG1",31134861,31150652,""
"6455","CCHCR1",54535,"ENSG00000204536","6",31142439,31158238,"p21.33"
"6456","CCHCR1",54535,"ENSG00000223533","CHR_HSCHR6_MHC_MANN_CTG1",31187361,31203155,""
"6457","CCHCR1",54535,"ENSG00000234114","CHR_HSCHR6_MHC_COX_CTG1",31134989,31150760,""
"6458","CCHCR1",54535,"ENSG00000206355","CHR_HSCHR6_MHC_DBB_CTG1",31136168,31151940,""
"6459","CD83",9308,"ENSG00000112149","6",14117256,14136918,"p23"
"6460","CDKAL1",54901,"ENSG00000145996","6",20534457,21232404,"p22.3"
"6461","CDSN",1041,"ENSG00000237165","CHR_HSCHR6_MHC_MCF_CTG1",31193614,31198966,""
"6462","CDSN",1041,"ENSG00000237114","CHR_HSCHR6_MHC_MANN_CTG1",31160057,31165363,""
"6463","CDSN",1041,"ENSG00000206460","CHR_HSCHR6_MHC_QBL_CTG1",31107496,31112855,""
"6464","CDSN",1041,"ENSG00000204539","6",31115090,31120446,"p21.33"
"6465","CDSN",1041,"ENSG00000137197","CHR_HSCHR6_MHC_COX_CTG1",31107584,31112941,""
"6466","CDSN",1041,"ENSG00000237123","CHR_HSCHR6_MHC_DBB_CTG1",31108861,31114200,""
"6467","CDYL",9425,"ENSG00000153046","6",4706159,4955551,"p25.1"
"6468","CFB",629,"ENSG00000239754","CHR_HSCHR6_MHC_COX_CTG1",31933196,31939630,""
"6469","CFB",629,"ENSG00000204359","CHR_HSCHR6_MHC_MANN_CTG1",31985034,31990148,""
"6470","CFB",629,"ENSG00000241253","CHR_HSCHR6_MHC_QBL_CTG1",31936032,31942466,""
"6471","CFB",629,"ENSG00000243570","CHR_HSCHR6_MHC_MCF_CTG1",32022093,32028527,""
"6472","CFB",629,"ENSG00000242335","CHR_HSCHR6_MHC_SSTO_CTG1",31938304,31944738,""
"6473","CFB",629,"ENSG00000243649","6",31945650,31952084,"p21.33"
"6474","CFB",629,"ENSG00000241534","CHR_HSCHR6_MHC_DBB_CTG1",31927837,31934271,""
"6475","CLIC1",1192,"ENSG00000213719","6",31730581,31739763,"p21.33"
"6476","CLIC1",1192,"ENSG00000223639","CHR_HSCHR6_MHC_SSTO_CTG1",31721342,31730525,""
"6477","CLIC1",1192,"ENSG00000206394","CHR_HSCHR6_MHC_QBL_CTG1",31720799,31729989,""
"6478","CLIC1",1192,"ENSG00000226651","CHR_HSCHR6_MHC_MANN_CTG1",31770035,31779217,""
"6479","CLIC1",1192,"ENSG00000230685","CHR_HSCHR6_MHC_COX_CTG1",31717988,31727162,""
"6480","CLIC1",1192,"ENSG00000226417","CHR_HSCHR6_MHC_MCF_CTG1",31806863,31816046,""
"6481","CLIC1",1192,"ENSG00000226248","CHR_HSCHR6_MHC_DBB_CTG1",31712749,31721936,""
"6482","CMAHP",NA,"ENSG00000168405","6",25081068,25166555,"p22.3"
"6483","COL11A2",1302,"ENSG00000227801","CHR_HSCHR6_MHC_COX_CTG1",33084308,33114125,""
"6484","COL11A2",1302,"ENSG00000204248","6",33162681,33192499,"p21.32"
"6485","COL11A2",1302,"ENSG00000230930","CHR_HSCHR6_MHC_DBB_CTG1",33140587,33170405,""
"6486","COL11A2",1302,"ENSG00000232541","CHR_HSCHR6_MHC_SSTO_CTG1",33302792,33329578,""
"6487","COL11A2",1302,"ENSG00000235708","CHR_HSCHR6_MHC_MCF_CTG1",33333046,33362862,""
"6488","COL11A2",1302,"ENSG00000223699","CHR_HSCHR6_MHC_MANN_CTG1",33316561,33346378,""
"6489","COL11A2",1302,"ENSG00000206290","CHR_HSCHR6_MHC_QBL_CTG1",33091492,33121309,""
"6490","CSNK2B",1460,"ENSG00000228875","CHR_HSCHR6_MHC_COX_CTG1",31652646,31660956,""
"6491","CSNK2B",1460,"ENSG00000224774","CHR_HSCHR6_MHC_SSTO_CTG1",31655985,31664295,""
"6492","CSNK2B",1460,"ENSG00000224398","CHR_HSCHR6_MHC_MCF_CTG1",31741515,31749825,""
"6493","CSNK2B",1460,"ENSG00000206406","CHR_HSCHR6_MHC_QBL_CTG1",31655467,31663777,""
"6494","CSNK2B",1460,"ENSG00000230700","CHR_HSCHR6_MHC_DBB_CTG1",31647414,31654461,""
"6495","CSNK2B",1460,"ENSG00000232960","CHR_HSCHR6_MHC_MANN_CTG1",31704690,31711736,""
"6496","CSNK2B",1460,"ENSG00000204435","6",31665236,31670343,"p21.33"
"6497","CUTA",51596,"ENSG00000112514","6",33416442,33418317,"p21.32"
"6498","CUTA",51596,"ENSG00000226492","CHR_HSCHR6_MHC_SSTO_CTG1",33556632,33558507,""
"6499","CYP21A1P",NA,"ENSG00000229856","CHR_HSCHR6_MHC_MCF_CTG1",32084376,32084894,""
"6500","CYP21A1P",NA,"ENSG00000239882","CHR_HSCHR6_MHC_SSTO_CTG1",31998290,32001104,""
"6501","CYP21A1P",NA,"ENSG00000204338","6",32005636,32008451,"p21.33"
"6502","CYP21A1P",NA,"ENSG00000231759","CHR_HSCHR6_MHC_DBB_CTG1",31987818,31990633,""
"6503","CYP21A2",1589,"ENSG00000232414","CHR_HSCHR6_MHC_DBB_CTG1",32014113,32017485,""
"6504","CYP21A2",1589,"ENSG00000235134","CHR_HSCHR6_MHC_MCF_CTG1",32114742,32118110,""
"6505","CYP21A2",1589,"ENSG00000206338","CHR_HSCHR6_MHC_QBL_CTG1",31850614,31999312,""
"6506","CYP21A2",1589,"ENSG00000231852","6",32038265,32041670,"p21.33"
"6507","CYP21A2",1589,"ENSG00000233151","CHR_HSCHR6_MHC_COX_CTG1",31986739,31990111,""
"6508","CYP21A2",1589,"ENSG00000198457","CHR_HSCHR6_MHC_SSTO_CTG1",32030953,32034322,""
"6509","DAXX",1616,"ENSG00000204209","6",33318558,33329286,"p21.32"
"6510","DAXX",1616,"ENSG00000227046","CHR_HSCHR6_MHC_COX_CTG1",33240162,33250873,""
"6511","DAXX",1616,"ENSG00000206206","CHR_HSCHR6_MHC_DBB_CTG1",33296480,33307190,""
"6512","DAXX",1616,"ENSG00000229396","CHR_HSCHR6_MHC_SSTO_CTG1",33469139,33469421,""
"6513","DAXX",1616,"ENSG00000206279","CHR_HSCHR6_MHC_QBL_CTG1",33247394,33258105,""
"6514","DAXX",1616,"ENSG00000231617","CHR_HSCHR6_MHC_MCF_CTG1",33488900,33499609,""
"6515","DCDC2",51473,"ENSG00000146038","6",24171756,24358052,"p22.3"
"6516","DDAH2",23564,"ENSG00000213722","6",31727038,31730617,"p21.33"
"6517","DDAH2",23564,"ENSG00000228128","CHR_HSCHR6_MHC_SSTO_CTG1",31717799,31721378,""
"6518","DDAH2",23564,"ENSG00000206395","CHR_HSCHR6_MHC_QBL_CTG1",31717256,31720835,""
"6519","DDAH2",23564,"ENSG00000233076","CHR_HSCHR6_MHC_MANN_CTG1",31766492,31770071,""
"6520","DDAH2",23564,"ENSG00000226634","CHR_HSCHR6_MHC_COX_CTG1",31714445,31718024,""
"6521","DDAH2",23564,"ENSG00000225635","CHR_HSCHR6_MHC_MCF_CTG1",31803320,31806899,""
"6522","DDAH2",23564,"ENSG00000227317","CHR_HSCHR6_MHC_DBB_CTG1",31709206,31712785,""
"6523","DDR1",780,"ENSG00000223680","CHR_HSCHR6_MHC_MCF_CTG1",30959531,30970646,""
"6524","DDR1",780,"ENSG00000204580","6",30876421,30900156,"p21.33"
"6525","DDR1",780,"ENSG00000234078","CHR_HSCHR6_MHC_MANN_CTG1",30925624,30944801,""
"6526","DDR1",780,"ENSG00000229767","CHR_HSCHR6_MHC_APD_CTG1",30949136,30953340,""
"6527","DDR1",780,"ENSG00000137332","CHR_HSCHR6_MHC_COX_CTG1",30870863,30890046,""
"6528","DDR1",780,"ENSG00000230456","CHR_HSCHR6_MHC_DBB_CTG1",30871677,30890873,""
"6529","DDR1",780,"ENSG00000215522","CHR_HSCHR6_MHC_QBL_CTG1",30870550,30889733,""
"6530","DDX39B",7919,"ENSG00000237889","CHR_HSCHR6_MHC_APD_CTG1",31597175,31606140,""
"6531","DDX39B",7919,"ENSG00000225073","CHR_HSCHR6_MHC_COX_CTG1",31517671,31534027,""
"6532","DDX39B",7919,"ENSG00000215425","CHR_HSCHR6_MHC_QBL_CTG1",31520488,31536841,""
"6533","DDX39B",7919,"ENSG00000198563","6",31530219,31542448,"p21.33"
"6534","DDX39B",7919,"ENSG00000225859","CHR_HSCHR6_MHC_MANN_CTG1",31569699,31586038,""
"6535","DDX39B",7919,"ENSG00000235439","CHR_HSCHR6_MHC_SSTO_CTG1",31520968,31533197,""
"6536","DDX39B",7919,"ENSG00000230624","CHR_HSCHR6_MHC_DBB_CTG1",31512399,31528755,""
"6537","DDX39B",7919,"ENSG00000229496","CHR_HSCHR6_MHC_MCF_CTG1",31606569,31622924,""
"6538","DEF6",50619,"ENSG00000023892","6",35297852,35321771,"p21.31"
"6539","DEK",7913,"ENSG00000124795","6",18223868,18264823,"p22.3"
"6540","DHX16",8449,"ENSG00000227222","CHR_HSCHR6_MHC_APD_CTG1",30723385,30736950,""
"6541","DHX16",8449,"ENSG00000204560","6",30653119,30673037,"p21.33"
"6542","DHX16",8449,"ENSG00000226171","CHR_HSCHR6_MHC_SSTO_CTG1",30645335,30665285,""
"6543","DHX16",8449,"ENSG00000231377","CHR_HSCHR6_MHC_MCF_CTG1",30731576,30751521,""
"6544","DHX16",8449,"ENSG00000233418","CHR_HSCHR6_MHC_DBB_CTG1",30643349,30663298,""
"6545","DHX16",8449,"ENSG00000233561","CHR_HSCHR6_MHC_COX_CTG1",30642952,30662900,""
"6546","DHX16",8449,"ENSG00000206486","CHR_HSCHR6_MHC_QBL_CTG1",30642608,30662557,""
"6547","DHX16",8449,"ENSG00000233049","CHR_HSCHR6_MHC_MANN_CTG1",30697750,30717697,""
"6548","DPCR1",135656,"ENSG00000257232","CHR_HSCHR6_MHC_MCF_CTG1",31019512,31029672,""
"6549","DPCR1",135656,"ENSG00000168631","6",30934523,30954221,"p21.33"
"6550","DPCR1",135656,"ENSG00000232251","CHR_HSCHR6_MHC_DBB_CTG1",30931715,30944934,""
"6551","DPCR1",135656,"ENSG00000232308","CHR_HSCHR6_MHC_COX_CTG1",30930703,30943914,""
"6552","DPCR1",135656,"ENSG00000229284","CHR_HSCHR6_MHC_QBL_CTG1",30930561,30943780,""
"6553","DSP",1832,"ENSG00000096696","6",7541575,7586717,"p24.3"
"6554","DTNBP1",84062,"ENSG00000047579","6",15522801,15663058,"p22.3"
"6555","DUSP22",56940,"ENSG00000112679","6",291630,351355,"p25.3"
"6556","E2F3",1871,"ENSG00000112242","6",20401906,20493715,"p22.3"
"6557","ECI2",10455,"ENSG00000198721","6",4115689,4135597,"p25.2"
"6558","EDN1",1906,"ENSG00000078401","6",12290363,12297194,"p24.1"
"6559","EEF1E1",9521,"ENSG00000124802","6",8073360,8102578,"p24.3"
"6560","EGFL8",80864,"ENSG00000242038","CHR_HSCHR6_MHC_COX_CTG1",32113054,32116752,""
"6561","EGFL8",80864,"ENSG00000244444","CHR_HSCHR6_MHC_QBL_CTG1",32122191,32125889,""
"6562","EGFL8",80864,"ENSG00000240592","CHR_HSCHR6_MHC_MCF_CTG1",32241011,32244709,""
"6563","EGFL8",80864,"ENSG00000243897","CHR_HSCHR6_MHC_MANN_CTG1",32203996,32207669,""
"6564","EGFL8",80864,"ENSG00000240389","CHR_HSCHR6_MHC_APD_CTG1",32231591,32235290,""
"6565","EGFL8",80864,"ENSG00000241404","6",32164583,32168281,"p21.32"
"6566","EGFL8",80864,"ENSG00000239974","CHR_HSCHR6_MHC_SSTO_CTG1",32172254,32175953,""
"6567","EHMT2",10919,"ENSG00000236759","CHR_HSCHR6_MHC_COX_CTG1",31867303,31885231,""
"6568","EHMT2",10919,"ENSG00000206376","CHR_HSCHR6_MHC_QBL_CTG1",31870139,31888078,""
"6569","EHMT2",10919,"ENSG00000238134","CHR_HSCHR6_MHC_MCF_CTG1",31956231,31974166,""
"6570","EHMT2",10919,"ENSG00000224143","CHR_HSCHR6_MHC_SSTO_CTG1",31872446,31882289,""
"6571","EHMT2",10919,"ENSG00000232045","CHR_HSCHR6_MHC_APD_CTG1",31946781,31964716,""
"6572","EHMT2",10919,"ENSG00000204371","6",31879759,31897687,"p21.33"
"6573","EHMT2",10919,"ENSG00000227333","CHR_HSCHR6_MHC_DBB_CTG1",31861940,31879868,""
"6574","ELOVL2",54898,"ENSG00000197977","6",10980759,11044314,"p24.2"
"6575","ERVFRD-1",405754,"ENSG00000244476","6",11102489,11111732,"p24.2"
"6576","EXOC2",55770,"ENSG00000112685","6",485133,693111,"p25.3"
"6577","F13A1",2162,"ENSG00000124491","6",6144085,6321013,"p25.1"
"6578","FAM217A",222826,"ENSG00000145975","6",4049434,4087344,"p25.2"
"6579","FAM50B",26240,"ENSG00000145945","6",3849386,3851317,"p25.2"
"6580","FAM8A1",51439,"ENSG00000137414","6",17600355,17611719,"p22.3"
"6581","FANCE",2178,"ENSG00000112039","6",35452361,35467103,"p21.31"
"6582","FARS2",10667,"ENSG00000145982","6",5261044,5771580,"p25.1"
"6583","FKBP5",2289,"ENSG00000096060","6",35573585,35728583,"p21.31"
"6584","FKBPL",63943,"ENSG00000230907","CHR_HSCHR6_MHC_COX_CTG1",32077157,32078741,""
"6585","FKBPL",63943,"ENSG00000224200","CHR_HSCHR6_MHC_DBB_CTG1",32104478,32106062,""
"6586","FKBPL",63943,"ENSG00000223666","CHR_HSCHR6_MHC_MCF_CTG1",32205134,32206718,""
"6587","FKBPL",63943,"ENSG00000204315","6",32128707,32130291,"p21.32"
"6588","FLOT1",10211,"ENSG00000236271","CHR_HSCHR6_MHC_MANN_CTG1",30772367,30787391,""
"6589","FLOT1",10211,"ENSG00000137312","6",30727709,30742733,"p21.33"
"6590","FLOT1",10211,"ENSG00000223654","CHR_HSCHR6_MHC_APD_CTG1",30791619,30794413,""
"6591","FLOT1",10211,"ENSG00000230143","CHR_HSCHR6_MHC_SSTO_CTG1",30719960,30734994,""
"6592","FLOT1",10211,"ENSG00000232280","CHR_HSCHR6_MHC_COX_CTG1",30717565,30732592,""
"6593","FLOT1",10211,"ENSG00000224740","CHR_HSCHR6_MHC_MCF_CTG1",30806191,30820021,""
"6594","FLOT1",10211,"ENSG00000206379","CHR_HSCHR6_MHC_DBB_CTG1",30717966,30732991,""
"6595","FLOT1",10211,"ENSG00000206480","CHR_HSCHR6_MHC_QBL_CTG1",30717229,30732250,""
"6596","FOXC1",2296,"ENSG00000054598","6",1609972,1613897,"p25.3"
"6597","FOXF2",2295,"ENSG00000137273","6",1389834,1395597,"p25.3"
"6598","FOXQ1",94234,"ENSG00000164379","6",1312440,1314748,"p25.3"
"6599","GABBR1",2550,"ENSG00000237051","CHR_HSCHR6_MHC_MANN_CTG1",29555178,29632716,""
"6600","GABBR1",2550,"ENSG00000206466","CHR_HSCHR6_MHC_MCF_CTG1",29555423,29632960,""
"6601","GABBR1",2550,"ENSG00000232632","CHR_HSCHR6_MHC_COX_CTG1",29552212,29629760,""
"6602","GABBR1",2550,"ENSG00000232569","CHR_HSCHR6_MHC_APD_CTG1",29555714,29633284,""
"6603","GABBR1",2550,"ENSG00000204681","6",29555629,29633976,"p22.1"
"6604","GABBR1",2550,"ENSG00000237112","CHR_HSCHR6_MHC_DBB_CTG1",29555562,29633117,""
"6605","GABBR1",2550,"ENSG00000206511","CHR_HSCHR6_MHC_QBL_CTG1",29555518,29633080,""
"6606","GCM2",9247,"ENSG00000124827","6",10873223,10881941,"p24.2"
"6607","GCNT2",2651,"ENSG00000111846","6",10492223,10629368,"p24.3"
"6608","GFOD1",54438,"ENSG00000145990","6",13357830,13487662,"p23"
"6609","GGNBP1",449520,"ENSG00000204188","6",33540046,33589026,"p21.31"
"6610","GMDS",2762,"ENSG00000112699","6",1623806,2245692,"p25.3"
"6611","GMNN",51053,"ENSG00000112312","6",24774931,24786099,"p22.3"
"6612","GMPR",2766,"ENSG00000137198","6",16238580,16295549,"p22.3"
"6613","GNL1",2794,"ENSG00000226882","CHR_HSCHR6_MHC_SSTO_CTG1",30533598,30549394,""
"6614","GNL1",2794,"ENSG00000206412","CHR_HSCHR6_MHC_APD_CTG1",30605288,30617469,""
